"users","revenue","openai_cost","stripe_fees","clerk_cost","neon_cost","hosting_cost","total_cost","profit","margin_percent"
"10","140","1.85","5.26","0","0","0","7.11","132.89","94.92"
"100","1400","18.5","52.6","0","0","19","90.1","1309.9","93.56"
"1000","14000","185","526","0","30","99","840","13160","94.00"
"10000","140000","1850","5260","0","200","300","7610","132390","94.56"
"20000","280000","3700","10520","200","1000","500","15920","264080","94.31"
"40000","560000","7400","21040","600","1000","700","30740","529260","94.51"
"60000","840000","11100","31560","1000","1000","900","45560","794440","94.58"
"80000","1120000","14800","42080","1400","1000","1100","60380","1059620","94.61"
"100000","1400000","18500","52600","1800","1000","1300","75200","1324800","94.63"
"200000","2800000","37000","105200","3800","2000","1500","149500","2650500","94.66"
"500000","7000000","92500","263000","9800","3500","1800","370600","6629400","94.71"
"1000000","14000000","185000","526000","19800","5000","2000","737800","13262200","94.73"
